,Director(s),Star(s),Votes,Gross,Language(s),Country_of_origin,Production_companies,Poster_image,Release_date,Title,Imdb_rating,Duration,Genre,Summary,MPA_rating
281, Aleksandre Koberidze ,"[' Giorgi Ambroladze', ' Oliko Barbakadze', ' Giorgi Bochorishvili', ' Irina Chelidze']", 747,,['Georgian'],"['Georgia', 'Germany']","['Deutsche Film- und Fernsehakademie Berlin (DFFB)', 'New Matter Films', 'Rundfunk Berlin-Brandenburg (RBB)']",https://m.media-amazon.com/images/M/MV5BNjRmYTAyZWItMmQ1NS00MmJlLWEwODgtMzc5NzkwMjJmYWNiXkEyXkFqcGdeQXVyNjgxODk1MTM@._V1_.jpg,2022-01-07,What Do We See When We Look at the Sky?,['7.1'],['150 min'],['Drama'],"['A chance encounter on a street corner has Lisa and Giorgi fall in love at first sight, but an evil spell is cast on them. Will they ever meet again?']",
282, Oleg Trofim ,"[' Tikhon Zhiznevskiy', ' Lyubov Aksyonova', ' Sergei Goroshko', ' Aleksey Maklakov']"," 11,144",,['Russian'],['Russia'],['BUBBLE Studios'],https://m.media-amazon.com/images/M/MV5BMDY2Mzk1NjgtOGM2My00Yzc0LTljOWUtM2U2MWUzYTA4MzlmXkEyXkFqcGdeQXVyMjUwNjY5MzA@._V1_.jpg,2021-04-08,Major Grom: Plague Doctor,['6.3'],['136 min'],"['Action, Adventure']","['Supercop Grom fights crime in St. Petersburg - an uphill battle. A vigilante starts killing the powerful, who escaped justice.']",['TV-14']
283, Octavian Strunila ,"[' Anca Dumitra', ' Andreea Gramosteanu', ' Leonid Doni', ' Ada Gales']"," 1,156",,['Romanian'],['Romania'],"['Black Maria Film', 'Chainsaw Europe', 'Ecart Studio']",https://m.media-amazon.com/images/M/MV5BMTcyYTFiYTYtNWY0Yy00NjJhLTlkMzktZDZjN2ZiNmRjYjhhXkEyXkFqcGdeQXVyMTMxMDUxODI0._V1_.jpg,2021-07-24,Perfect Strangers,['7.9'],['94 min'],"['Comedy, Drama']","['One evening, a glass of wine, 7 friends enter a dangerous game: they put their phones on the table and decide that everything they receive that evening, calls, messages, wapp, emails, it will be answered by speaker or read aloud.']",
284, Cecilia Verheyden ,"[' Frank Lammers', ' Elise Schaap', ' Huub Stapel', ' Raymond Thiry']"," 9,944",,"['Flemish', 'Dutch']","['Belgium', 'Netherlands']",['deMENSEN'],https://m.media-amazon.com/images/M/MV5BZThhNWM2Y2ItMDRkOC00MWEyLTg5YmItMThkMzRjYjA3Mzk4XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,2021-05-14,Ferry,['7.0'],['106 min'],"['Action, Crime, Drama']","['Ruthless Ferry Bouman is sent to his native region of Brabant by his boss Brink to avenge an attack on their gang. When he meets lovely Danielle and old family feuds resurface, Brabant starts to pierce his steel armour.']",['TV-MA']
285, Ian Samuels ,"[' Kathryn Newton', ' Kyle Allen', ' Jermaine Harris', ' Anna Mikami']"," 19,140",,['English'],['United States'],"['FilmNation Entertainment', 'Weed Road Pictures', 'Wishmore']",https://m.media-amazon.com/images/M/MV5BMjFjMTQxZTYtYzdkZi00ZWMyLWJlN2QtY2IzYTc3MzdlZGY5XkEyXkFqcGdeQXVyNjcyNjcyMzQ@._V1_.jpg,2021-02-12,The Map of Tiny Perfect Things,['6.8'],['98 min'],"['Comedy, Fantasy, Romance']","['Two teens who live the same day repeatedly, enabling them to create the titular map.']",['PG-13']
286,"[' Roberto De Feo', ' Paolo Strippoli ']","[' Matilda Anna Ingrid Lutz', ' Francesco Russo', ' Peppino Mazzotta', ' Will Merrick']"," 15,464",,"['Italian', 'English']",['Italy'],"['Colorado Film Production', 'Apulia Film Commission', 'Netflix Studios']",https://m.media-amazon.com/images/M/MV5BNGZmODA3ZjAtMDU4Zi00MWMxLWEzNTAtMGZmMmNjZGFlOTRhXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,2021-07-14,A Classic Horror Story,['5.7'],['95 min'],"['Drama, Horror, Mystery']","['In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.']",['TV-MA']
287, Dolph Lundgren ,"[' Scott Adkins', ' Dolph Lundgren', ' Vas Sanchez', ' Scott Hunter']"," 1,037",,['English'],['United States'],"['BondIt Media Capital', 'Buffalo 8 Productions', 'VMI Worldwide']",https://m.media-amazon.com/images/M/MV5BMzEyODRjNTctMmJmMi00OTNlLThjYjQtOGIyOTAxNDRjMmEwXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_.jpg,2021-12-03,Castle Falls,['5.2'],['90 min'],"['Action, Drama, Thriller']","[""Rival gangs seek out millions of dollars hidden inside a luxury condominium that's scheduled to be demolished, but first they have to deal with the janitor who found the loot first.""]",['Not Rated']
288, Kunal Deshmukh ,"[' Sunny Kaushal', ' Radhika Madan', ' Mohit Raina', ' Diana Penty']"," 16,873",,['Hindi'],['India'],"['Maddock Films', 'T-Series']",https://m.media-amazon.com/images/M/MV5BN2U2NzcyYWQtYWRkNi00NWE2LWFlN2UtMjY0MzJkMWQzZDI2XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg,2021-10-01,Shiddat,['8.0'],['146 min'],['Romance'],"['A passionate love story involving two couples which highlights the contrast between a regular, mature yet egoistic husband and a unique, happy go lucky, enamored, overzealous boy chasing after the love of his life.']",
289, Andrew Lawrence ,"[' Danielle C. Ryan', ' Joey Lawrence', ' Matthew Lawrence', ' Andrew Lawrence']", 724,,['English'],['United States'],"['Mistletoe Mixup', 'Two Sherpas', 'Workman Productions']",,2021-12-01,Mistletoe Mixup,['5.7'],['83 min'],"['Comedy, Romance']","['A workaholic with no time for romance, or the holidays ends up meeting two potential suitors on the same day, but unbeknownst to her, they turn out to be brothers. A sibling squabble commences in this holiday romance.']",['PG']
290, Alex McAulay ,"[' Angela Sarafyan', ' Paul Schneider', ' Lia McHugh', ' Jacob Lofland']"," 1,073",,['English'],['United States'],"['Blumhouse Productions', 'Blumhouse Television', 'Epix (I)']",https://m.media-amazon.com/images/M/MV5BYjVlZTJlMjYtZDJjMC00YmIzLWJhOWEtYmMzMDk1YTJhYzU1XkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_.jpg,2021-11-19,A House on the Bayou,['5.4'],['88 min'],"['Horror, Mystery, Thriller']","['Follows a troubled couple and their daughter who go on vacation to an isolated house in the Louisiana bayou to reconnect as a family. But when unexpected visitors arrive, the unity starts to unravel.']",
291, Diya Annapurna Ghosh ,"[' Abhishek Bachchan', ' Chitrangda Singh', ' Paran Banerjee', ' Kaushik Chakraborty']"," 5,734",,['Hindi'],['India'],"['Boundscript Motion Pictures', 'Red Chillies Entertainment']",https://m.media-amazon.com/images/M/MV5BMjZjYjcxODItNzBlNy00NDI5LWJlOGItNGEzMDE0OTE3ZTFmXkEyXkFqcGdeQXVyMTIzMzg0MTM2._V1_.jpg,2021-12-03,Bob Biswas,['6.9'],['131 min'],"['Crime, Drama, Thriller']","['Bob Biswas, an insurance agent, is released from hospital after eight years in a coma and is welcomed by his wife Mary and son Benny. He has lost his memory and does not remember the past.']",
292, Mike Burns ,"[' Jaime King', ' Bruce Willis', ' Lala Kent', ' Kelly Greyson']"," 3,807",,['English'],['United States'],"['Emmett/Furla/Oasis Films (EFO Films)', 'SSS Entertainment', 'BondIt Media Capital']",https://m.media-amazon.com/images/M/MV5BNWQwNGUzYzUtOGM5Yy00ZTAwLTg4OWMtODhlMThlZTJmNDkxXkEyXkFqcGdeQXVyNjE2MzI5ODM@._V1_.jpg,2021-07-16,Out of Death,['3.2'],['96 min'],"['Crime, Thriller']","[""A corrupt Sheriff's department in a rural mountain town comes undone when an unintended witness throws a wrench into their shady operation.""]",['R']
293, Vince Marcello ,"[' Joey King', ' Joel Courtney', ' Jacob Elordi', ' Molly Ringwald']"," 14,114",,['English'],"['United Kingdom', 'United States']","['Clearblack Films', 'Komixx Entertainment', 'Picture Loom']",https://m.media-amazon.com/images/M/MV5BYzE1YzViNzktZTU5Ny00ZjYzLWE0YjItZWNkNDU1MzFiOWNhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-08-11,The Kissing Booth 3,['4.7'],['112 min'],"['Comedy, Romance']","[""It's the summer before Elle Evans is set to head off to college, and she has a big decision to make.""]",['TV-14']
294, Dany Boon ,"[' Dany Boon', ' François Damiens', ' Laurence Arné', ' Yvan Attal']"," 5,649",,"['French', 'Spanish']",['France'],"['Inver Tax Shelter', 'Netflix Studios']",https://m.media-amazon.com/images/M/MV5BZDYyNjI2MGItN2FjYi00MzYzLWJkZjAtMzY4ZTc1OTUzOWRlXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,2021-10-20,Stuck Together,['6.3'],['125 min'],['Comedy'],"['When Paris goes into lockdown during the pandemic, the quirky residents of an apartment building must adjust to a new life and one another.']",['TV-MA']
295, Phil Tippett ,"[' Alex Cox', ' Niketa Roman', ' Satish Ratakonda', ' Harper Taylor']", 706,,['None'],['United States'],['Tippett Studio'],https://m.media-amazon.com/images/M/MV5BZjljZGI5ZTAtMmIwMC00N2ZiLWEzNmYtMDQ1MzFiNDI4ZDllXkEyXkFqcGdeQXVyMTM2MzgyOTU@._V1_.jpg,2021-09-29,Mad God,['7.1'],['83 min'],"['Animation, Fantasy, Horror']",['A corroded diving bell descends amidst a ruined city and the Assassin emerges from it to explore a labyrinth of bizarre landscapes inhabited by freakish denizens.'],
296, Chris Appelhans ,"[' Constance Wu', ' John Cho', ' Jimmy O. Yang', ' Bobby Lee']"," 22,351",,['English'],"['China', 'United States']","['Base Animation', 'Sony Pictures Animation', 'Sparkle Roll Media']",https://m.media-amazon.com/images/M/MV5BNDg0N2NiZTAtZWVjNy00YmJlLWI0NDktMjFkMmRiZGIyNzRmXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_.jpg,2021-06-11,Wish Dragon,['7.2'],['98 min'],"['Animation, Adventure, Comedy']",['Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.'],['PG']
297, Collin Schiffli ,"[' Diego Boneta', ' Alexandra Daddario', ' Justin Chatwin', ' Wade Allain-Marcus']"," 2,040",,['English'],['United States'],"['Align', 'Culmination Productions', 'Digital Ignition Entertainment']",https://m.media-amazon.com/images/M/MV5BMjViNDU0ZmUtOWRjNS00OGMxLWIzOGEtYzA1ZDA4Y2VhYWYzXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,2021-07-16,Die in a Gunfight,['4.4'],['92 min'],"['Action, Comedy, Crime']","[""In New York City, a young guy falls for the daughter of his father's nemesis.""]",['R']
298,"[' Robert Cullen', ' José Luis Ucha', ' Mark Fattibene ']","[' Vanessa Hudgens', ' Kimiko Glenn', ' James Marsden', ' Sofia Carson']"," 3,082",,['English'],"['United States', 'Ireland', 'Canada']","['Netflix', 'Boulder Media', 'Entertainment One']",https://m.media-amazon.com/images/M/MV5BZjUzZjliYjgtYjNkZC00OThhLTg1OTItZjgzNjY4Yzg0ZTQ2XkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_.jpg,2021-09-24,My Little Pony: A New Generation,['6.9'],['90 min'],"['Animation, Adventure, Comedy']","['After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria.']",['PG']
299, Vishnuvardhan ,"[' Sidharth Malhotra', ' Kiara Advani', ' Shiv Panditt', ' Pranay Pachauri']"," 112,147",,['Hindi'],['India'],['Dharma Productions'],https://m.media-amazon.com/images/M/MV5BMjk1NzcwMDUtNDU4ZC00MzlhLTkzZjAtM2MxMTRjZGE0ODdhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,2021-08-12,Shershaah,['8.7'],['135 min'],"['Action, Biography, Drama']","['The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999.']",['TV-14']
300, William Nunez ,"[' Laura Haddock', ' Dianna Agron', ' Tom Hughes', ' Fra Fee']",,,['English'],['United Kingdom'],"['Bohemia Media', 'Deya Productions', 'Fluidity Films']",https://m.media-amazon.com/images/M/MV5BMThlYjA4MmQtZDliZC00MDgyLWI0OWEtYWZkNzhmMmQ0ZjI0XkEyXkFqcGdeQXVyNTUyODI1Nzg@._V1_.jpg,2022-01-21,The Laureate,,['110 min'],['Drama'],['A married couple on the brink of disillusion allows a stranger to live with them in their idyllic cottage. Will this stranger push their fragile state over the edge?'],['R']
301, Raj B. Shetty ,"[' Gopalkrishna Deshpande', ' Vineet Kumar', ' Deepak Rai Panaje', ' Raj B. Shetty']"," 2,975",,['Kannada'],['India'],['Lighter Buddha Films'],https://m.media-amazon.com/images/M/MV5BMGY5M2MxZjYtMWUwNi00N2RlLTk4NWQtMTY3YjI2ZjAwYjQ5XkEyXkFqcGdeQXVyODk4NTI4NDA@._V1_.jpg,2021-11-19,Garuda Gamana Vrishabha Vahana,['8.7'],['151 min'],"['Crime, Drama, Thriller']","['Set in the backdrop of the coastal and cultural city of modern-day Mangaluru, Hari and his soulmate Shiva rise together to great heights only to face off as bitter enemies resulting to their own downfall and destruction.']",
302, Gilles de Maistre ,"[' Molly Kunz', ' Graham Greene', ' Charlie Carrick', ' Derek Johns']", 153,,"['French', 'English']","['France', 'Canada']","['Mai Juin Productions', 'Galatée Films', 'Les Productions Wematin']",https://m.media-amazon.com/images/M/MV5BNTdjZWFkODEtZGZkZi00NDA1LThlN2UtNGUyN2Y0YTk3ZWM2XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_.jpg,2022-02-04,The Wolf and the Lion,['6.1'],['99 min'],['Family'],['A wolf pup and a lost lion cub are rescued by a girl in the heart of the Canadian wilderness. Their friendship will change their lives forever.'],['PG']
303, Swinton O. Scott III ,"[' Cyrus Arnold', ' Braxton Baker', ' Erica Cerra', ' Lossen Chambers']"," 2,155",,['English'],"['Canada', 'United States']","['Walt Disney Pictures', '20th Century Studios', 'Bardel Entertainment']",https://m.media-amazon.com/images/M/MV5BZDYyMjI1OWQtYjhmMS00MmU4LWI1N2UtNzFlZGQ0MDE2ODEwXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_.jpg,2021-12-03,Diary of a Wimpy Kid,['5.2'],['58 min'],"['Animation, Comedy, Drama']",['Greg Heffley is an ambitious kid with an active imagination and big plans to be rich and famous. The problem is that he has to survive middle school first.'],['PG']
304, Ram Madhvani ,"[' Kartik Aaryan', ' Mohammed Mansoor', ' Mrunal Thakur', ' Amruta Subhash']"," 38,020",,['Hindi'],['India'],"['Globalgate Entertainment', 'Lotte Cultureworks', 'Lotte Entertainment']",https://m.media-amazon.com/images/M/MV5BNzUyOWU2M2MtMDU1Yy00M2E1LTg3OTktMGRjYTE2MjkzYzUwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,2021-11-19,Dhamaka,['7.4'],['103 min'],"['Crime, Drama, Thriller']","['Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air.']",['TV-14']
305, Brad Turner ,"[' Barry Pepper', ' Colm Feore', ' Eve Harlow', ' Carlo Rota']"," 2,002",,['English'],['Canada'],"['Chicken Soup for the Soul Entertainment', 'High Park Entertainment', 'Landmark Studio Group']",https://m.media-amazon.com/images/M/MV5BY2NhMjMxNzMtMDIwMC00NzQwLWI4N2ItMTVkNzNhOGIxMDJmXkEyXkFqcGdeQXVyMTMwMjY1MTY2._V1_.jpg,2021-04-16,Trigger Point,['4.9'],['85 min'],"['Action, Mystery, Thriller']","['Follows Nicolas Shaw, a retired U.S. special operative who becomes part of an elite ""invisible"" team that quietly takes out the worst villains around the world.']",['Not Rated']
306, Ty Roberts ,"[' Luke Wilson', ' Vinessa Shaw', ' Wayne Knight', ' Martin Sheen']"," 3,653",,['English'],['United States'],"['Santa Rita Film Co.', 'Greenbelt Films', 'Michael De Luca Productions']",https://m.media-amazon.com/images/M/MV5BZWMxNzA1NWEtYjgwMC00ZjkwLTljYjYtN2E3ZWIzODJlN2Y4XkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_.jpg,2021-06-18,12 Mighty Orphans,['6.9'],['118 min'],"['History, Sport']","['Haunted by his mysterious past, a devoted high school football coach leads a scrawny team of orphans to the state championship during the Great Depression and inspires a broken nation along the way.']",['PG-13']
307, Steven M. Smith ,"[' Toby Wynn-Davies', ' Julian Sands', ' Colin Baker', ' Christopher Ellison']", 381,,['English'],['United Kingdom'],"['GlobalWatch Films', 'CoCo Pictures', 'Greenway Entertainment']",https://m.media-amazon.com/images/M/MV5BY2E2ZWE3ODItZTA1My00ODYyLThhZWMtNTZiYzVkMmIxNjQ0XkEyXkFqcGdeQXVyMzU5NzU5OQ@@._V1_.jpg,2022-02-18,The Ghosts of Borley Rectory,['4.6'],['80 min'],"['Drama, Horror, Mystery']",['Harry Price investigates the ghosts of Borley Rectory during his stay there.'],
308, Eric Schaeffer ,"[' Annabella Sciorra', ' Willie Garson', ' Chris Perfetti', ' Craig Bierko']", 213,,['English'],['United States'],['Mainstay Entertainment'],,2021-07-20,Before I Go,['6.6'],['98 min'],"['Comedy, Drama']",['A woman recalls her life and musical career choices in New York City through the years.'],
309, Aml Ameen ,"[' Aml Ameen', ' Aja Naomi King', ' Leigh-Anne Pinnock', ' Tamara Lawrance']", 871,,,,,,,Boxing Day,['5.7'],['109 min'],"['Comedy, Romance']","[""Inspired by writer, director, and star Aml Ameen's life, Boxing Day follows Melvin (Ameen), a British author living in America, who returns home to London for Christmas to introduce his ... See full summary »""]",
310, Lluís Quílez ,"[' Javier Gutiérrez', ' Karra Elejalde', ' Luis Callejo', ' Andrés Gertrúdix']"," 17,868",,['Spanish'],['Spain'],"['Morena Films', 'Amorós Producciones', 'Film Factory']",https://m.media-amazon.com/images/M/MV5BZmMzYjg4ZmQtMjc2Yy00ZWQ4LWE0M2ItMzNmYTFlMDJlNzUyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,2021-01-29,Below Zero,['6.2'],['106 min'],"['Action, Adventure, Crime']","['On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.']",['TV-MA']
311, Eli King ,"[' Denise Black', ' Gabriel Cartade', ' Ray Fearon', ' Mark Anthony Brighton']"," 9,091",,['English'],['United Kingdom'],"['Enlightened Kingdom', 'Sarke Studio']",https://m.media-amazon.com/images/M/MV5BMzZjMGRlYzYtMTljNS00MGQ0LTg2ZDYtZDJhMjViMWI0YzA0XkEyXkFqcGdeQXVyMTAyMDUwNDMy._V1_.jpg,2021-12-10,The Lady of Heaven,['8.4'],['141 min'],"['Action, Drama, History']","['Two stories separated by 1400 years. After losing his mother in the midst of a war-torn country, an Iraqi child, learns the importance and power of patience by discovering the historical story of Lady Fatima and her suffering.']",['R']
312, Jacques Audiard ,"[' Lucie Zhang', ' Makita Samba', ' Noémie Merlant', ' Jehnny Beth']"," 1,302",,"['French', 'Mandarin', 'English']",['France'],"['Page 114', 'France 2 Cinéma', 'Canal+']",https://m.media-amazon.com/images/M/MV5BM2JhMzFkNzgtOTFjZC00ZmY5LWFmZjAtMjY5YTdkOWRkYjdlXkEyXkFqcGdeQXVyMTMwNjQxNDU1._V1_.jpg,2022-04-15,"Paris, 13th District",['7.1'],['105 min'],"['Comedy, Drama, Romance']","[""Émilie meets Camille who is attracted to Nora, who crosses paths with Amber. Three girls and a boy - They're friends, sometimes lovers and often both.""]",
313, Jared Cohn ,"[' Patrick Muldoon', ' Bruce Willis', ' Matthew Marsden', ' Michael DeVorzon']", 532,,['English'],['United States'],"['308 Ent', 'BondIt Media Capital', 'Buffalo 8 Productions']",https://m.media-amazon.com/images/M/MV5BYmMwZGYzYWQtOGY5My00ZjhiLWI2NDUtMGIzM2JhYTg1NzVlXkEyXkFqcGdeQXVyNjE2MzI5ODM@._V1_.jpg,2021-12-03,Deadlock,['3.4'],['97 min'],"['Action, Thriller']",['An ex-military man working at a Georgia power plant has to spring into action to prevent disaster when a group of rogue soldiers gain control of the plant and take the employees hostage.'],['R']
314, James Cullen Bressack ,"[' Chad Michael Murray', ' Bruce Willis', ' Swen Temmel', ' Michael Sirow']"," 3,089",,['English'],['United States'],"['BondIt Media Capital', 'Buffalo 8 Productions', 'Emmett/Furla/Oasis Films (EFO Films)']",https://m.media-amazon.com/images/M/MV5BYjBjZjdhOGEtNDFjNi00MzU5LWE1Y2EtYjgzZjM3MWE2YWUzXkEyXkFqcGdeQXVyMjUxOTAxNzI@._V1_.jpg,2021-10-08,Survive the Game,['4.4'],['97 min'],"['Action, Thriller']","[""A man's life on his farm is interrupted when a cop and a pair of dangerous criminals show up.""]",['R']
315, Amy Poehler ,"[' Hadley Robinson', ' Lauren Tsai', ' Alycia Pascual-Pena', ' Nico Hiraga']"," 23,450",,['English'],['United States'],"['Netflix', 'Paper Kite Productions']",https://m.media-amazon.com/images/M/MV5BNjkwYzY2OTgtYjNiZi00YmNiLTk5YTQtZTQyZjM1YzA1ZmMwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-03-03,Moxie,['6.7'],['111 min'],"['Comedy, Drama, Music']","[""Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.""]",['PG-13']
316, Jamie Patterson ,"[' Samantha Bond', ' James Cosmo', ' Patrick Bergin', ' Blake Harrison']", 291,,['English'],['United Kingdom'],"['Parkhouse Pictures', 'AMP International', 'Jump Start Productions']",https://m.media-amazon.com/images/M/MV5BODlmYzZmOTQtZThmMy00M2YxLWFmNGQtOGQ2ZTY4NGU5NTExXkEyXkFqcGdeQXVyMjAzMTE1MDU@._V1_.jpg,2021-12-09,The Kindred,['4.6'],['94 min'],['Thriller'],"[""A woman suffering from amnesia pieces together the events that led to her father's suicide, only to be haunted by the ghosts of children that she begins to suspect were murdered by him.""]",
317, J.P. Watts ,"[' Sam Hazeldine', ' Tom Goodman-Hill', ' Kris Hitchen', ' Elliot James Langridge']"," 1,771",,['English'],['United Kingdom'],['Vital Pictures'],https://m.media-amazon.com/images/M/MV5BYjA3NThjOWYtMmMzNC00MGQ5LTk3MjQtNjQ2YjFlNDJlYjNkXkEyXkFqcGdeQXVyMTg2MDM2NjI@._V1_.jpg,2021-10-01,The War Below,['6.5'],['96 min'],"['Drama, History, War']","[""During World War I, a group of British miners are recruited to tunnel underneath no man's land and set bombs from below the German front in hopes of breaking the deadly stalemate of the Battle of Messines.""]",
318, Alessio Della Valle ,"[' Jonathan Rhys Meyers', ' Emile Hirsch', ' Paz Vega', ' Jeremy Piven']"," 2,650",,['English'],['Italy'],"['Martha Production', 'Pegasus', 'QMI']",https://m.media-amazon.com/images/M/MV5BYzdhNjMxYWMtOTZlNC00OWIxLWIxNGYtNGIzNmYyOTA5NWU3XkEyXkFqcGdeQXVyMTQ3Nzc1Mzky._V1_.jpg,2021-10-01,American Night,['5.5'],['123 min'],"['Action, Thriller']","['A courier carrying Andy Warhol\'s famous ""Pink Marilyn"" arrives in New York City. Art and life collide - as John Kaplan tries to juggle the mob and his talent as an art forger with his love for Sarah Flores - and chaos ensues.']",['R']
319, Paul Weitz ,"[' Kevin Hart', ' Alfre Woodard', ' Lil Rel Howery', ' DeWanda Wise']"," 34,031",,['English'],['United States'],"['BRON Studios', 'Free Association', 'Higher Ground Productions']",https://m.media-amazon.com/images/M/MV5BMzU5YWYzZGMtNTE2My00NDE0LTgxNWYtZDYzYjI2YzM3OWJlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-06-18,Fatherhood,['6.6'],['109 min'],"['Comedy, Drama']","[""A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.""]",['PG-13']
320, Lindsay Gossling ,"[' Amy Smart', ' Thora Birch', ' Anne Heche', ' Paz Vega']"," 1,042",,['English'],"['Canada', 'United States']","['Elevated Films (II)', 'Involving Pictures']",https://m.media-amazon.com/images/M/MV5BZTBjNjdkNzItYjZjOC00MjhkLTk4ZTQtZTcyM2FmMGJlMDViXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-11-05,13 Minutes,['4.6'],['108 min'],"['Action, Drama, Thriller']","['Four families in a Heartland town are tested in a single day when a tornado hits, forcing paths to cross and redefining the meaning of survival.']",['PG-13']
321,"[' Simon Barrett', ' Steven Kostanski', ' Chloe Okuno', ' Ryan Prows', ' Jennifer Reeder', ' Timo Tjahjanto ']","[' Anna Hopkins', ' Christian Potenza', ' Brian Paul', ' Tim Campbell']"," 6,248",,['English'],['United States'],"['Bloody Disgusting', 'Cinepocalypse Productions', 'Raven Banner Entertainment']",https://m.media-amazon.com/images/M/MV5BZmJkM2QzYTctYTNiNC00MDcyLWI0MjAtMjdjMGYwYWNjNjkwXkEyXkFqcGdeQXVyMTMxNjUyMDkx._V1_.jpg,2021-10-06,V/H/S/94,['5.5'],['103 min'],"['Horror, Mystery, Thriller']",['A police S.W.A.T. team investigates about a mysterious VHS tape and discovers a sinister cult that has pre-recorded material which uncovers a nightmarish conspiracy.'],['R']
322, Patrick Imbert ,"[' Lazare Herson-Macarel', ' Eric Herson-Macarel', ' Damien Boisseau', ' Elisabeth Ventura']"," 3,123",,['French'],"['Luxembourg', 'France']","['Julianne Films', 'Folivari', 'Mélusine Productions']",https://m.media-amazon.com/images/M/MV5BNzRlY2UwYTEtMjUwMC00MjFhLWFhZTAtODBhY2U5MDhmMzY3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,2021-11-30,The Summit of the Gods,['7.5'],['95 min'],"['Animation, Adventure, Drama']","[""A photojournalist's obsessive quest for the truth about the first expedition to Mt. Everest leads him to search for an esteemed climber who went missing.""]",['PG']
323, Billy Crystal ,"[' Billy Crystal', ' Chad Jennings', ' Dierdre Friel', ' Alex Brightman']"," 3,071",,['English'],['United States'],"['Astute Films', 'Big Head Productions', 'Big Indie Pictures']",https://m.media-amazon.com/images/M/MV5BODdjZGY0NzgtZjZjMS00NTQ2LWI4ZDYtNmY5MTk0MmY3ZDQ4XkEyXkFqcGdeQXVyMTA3MzQ4MTg0._V1_.jpg,2021-05-07,Here Today,['6.7'],['117 min'],"['Comedy, Drama']","['When veteran comedy writer Charlie Burnz meets New York street singer Emma Payge, they form an unlikely yet hilarious and touching friendship that kicks the generation gap aside and redefines the meaning of love and trust.']",['PG-13']
324, Matt Peters ,"[' Justin Hartley', ' Anson Mount', ' Laura Bailey', ' Zach Callison']"," 8,064",,['English'],['United States'],"['Warner Bros. Animation', 'DC Entertainment']",,2021-10-19,Injustice,['6.3'],['78 min'],"['Animation, Action, Adventure']","['On an alternate Earth, the Joker tricks Superman into killing Lois Lane, which causes a rampage in the hero. Superman decides to take control of Earth, Batman and his allies will have to attempt to stop him.']",['R']
325, Patryk Vega ,"[' Piotr Adamczyk', ' Enrique Arce', ' Jim Conway', ' Andris Keiss']", 315,,"['English', 'Polish', 'Russian']",['Poland'],['Vega Investments'],https://m.media-amazon.com/images/M/MV5BOWYyMTA1ZGMtZGU0NS00NDg2LTliMDUtNGM3MDUyYWViMzFiXkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_.jpg,2021-09-10,Small World,['5.4'],['117 min'],"['Action, Crime, Drama']","['Follows policeman Robert Goc, who becomes engaged in an international investigation to find a girl who was kidnapped by Russian mafia.']",
